Year,Lake,DOYtrunc,BGA_YSI,BGA_HYLB,BGA_logged_YSI,BGA_logged_HYLB,DO_YSI,DO_HYLB,DOsat_calc_YSI,DOsat_calc_HYLB,PH_YSI,PH_HYLB,Temp_YSI,Temp_HYLB,Manual_Chl
2013,L,184,NA,129.2574455,NA,2.09119154,7.534930556,7.612395833,92.05229411,93.02789269,5.806909722,6.353544617,23.41594415,23.41354167,1.753095537
2013,L,185,NA,124.4813969,NA,2.084425618,7.460143124,7.5209375,92.32323811,92.98813005,5.772986111,6.361461284,24.35963512,24.31849695,1.716929988
2013,L,186,NA,136.5631175,NA,2.092485907,7.417604167,7.466215278,92.53236755,93.09590297,5.740833333,6.388336284,24.979375,24.94128472,2.476205435
2013,L,187,NA,142.197717,NA,2.103892306,7.325763889,7.358958333,91.74227472,92.15310306,5.724305556,6.404169617,25.29034722,25.28420139,2.03480764
2013,L,188,NA,181.5474519,NA,2.200745031,7.318333333,7.3828125,91.8965239,92.72154834,5.749201389,6.435523784,25.50833333,25.52069444,2.29649799
2013,L,189,NA,150.8529201,NA,2.155972674,7.193036037,7.250208333,91.07566608,91.73699867,5.715629659,6.367016839,26.19926942,26.16081143,2.363083965
2013,L,190,NA,162.6473824,NA,2.197249263,6.980104167,7.041319444,88.01819242,88.87300793,5.663888889,6.301843228,25.85413194,25.93215278,2.986717059
2013,L,191,NA,176.1568841,NA,2.201235071,7.037626989,7.084479167,87.03699138,87.71650416,5.663993056,6.306508779,24.30348091,24.39145833,2.938860185
2013,L,192,NA,147.4497645,NA,2.16100362,7.095277778,7.194756944,87.39783015,88.61571767,5.728368056,6.313961284,23.99930556,23.99065972,1.909391607
2013,L,193,NA,146.90625,NA,2.162906853,7.205208333,7.283402778,89.62928967,90.5331749,5.701909722,6.333579339,24.75704861,24.69347222,1.710035841
2013,L,194,NA,154.2671701,NA,2.176793964,7.153784722,7.254513889,89.21182863,90.44706474,5.699375,6.353232117,24.95,24.92996528,1.446219796
2013,L,195,NA,178.7394243,NA,2.228170836,7.120104167,7.224787704,89.56705792,90.85691187,5.708680556,6.352259895,25.65569444,25.628125,2.195268924
2013,L,196,NA,209.3625042,NA,2.230401131,6.993541667,7.124577017,88.66258189,90.33694245,5.700173611,6.299495591,26.31993056,26.32876211,1.72169844
2013,L,197,NA,203.1533467,NA,2.200347301,6.997251504,7.073402778,89.98933058,90.83716548,5.633282793,6.349513889,27.49095579,27.50593612,1.453286297
2013,L,198,NA,173.3428568,NA,2.154699937,6.845868056,6.835208333,88.53340467,88.36544091,5.632916667,6.360486111,28.12847222,28.09055556,1.673152152
2013,L,199,NA,189.5934527,NA,2.200535333,6.800104167,6.773680556,88.20761991,87.86207469,5.604027778,6.358090278,28.41399306,28.41149306,2.182055141
2013,L,200,NA,204.8961493,NA,2.227348094,6.869270833,6.819166667,88.64600327,88.03653904,5.649444444,6.404166667,27.91579861,27.95548611,2.704516621
2013,L,201,NA,158.4660635,NA,2.174467826,6.897569444,6.8990625,87.80814767,87.87567185,5.687708333,6.4078125,26.66819444,26.7171875,2.798162124
2013,L,202,NA,158.2712901,NA,2.188870672,6.951354167,6.970416667,87.23888184,87.51677691,5.671736111,6.396319444,25.45482639,25.49145833,2.690038911
2013,L,203,NA,165.7636182,NA,2.19725981,7.000341427,6.992909387,87.12187569,87.08793969,5.637779421,6.372981491,24.78596164,24.84028622,2.726175734
2013,L,204,NA,182.7005064,NA,2.235746364,7.176006944,7.169305556,87.91496304,87.94026105,5.607569444,6.3696875,23.59440972,23.68409722,3.62046157
2013,L,205,NA,160.4523198,NA,2.19496802,7.303125,7.344305556,88.53653674,89.11665738,5.684409722,6.368784722,22.83673611,22.90128472,2.389281725
2013,L,206,NA,166.0347222,NA,2.205810104,7.314305556,7.3459375,88.21536081,88.65967787,5.672083333,6.355659722,22.47482639,22.52364583,2.540263556
2013,L,207,NA,185.1923747,NA,2.255289864,7.343923611,7.363402778,88.11196327,88.39844593,5.608680556,6.3578125,22.12180556,22.20504008,3.432366245
2013,L,208,NA,199.7463446,NA,2.283181453,7.473819444,7.499270833,87.47749671,87.92208969,5.636145833,6.344027778,20.51527778,20.62038194,3.834122692
2013,L,209,NA,217.6858009,NA,2.327582529,7.662916667,7.682083333,87.58854622,87.97648921,5.623472222,6.32625,19.08541667,19.19722222,4.076854135
2013,L,210,NA,194.9411231,NA,2.254434871,7.843020833,7.878675246,89.02165275,89.47047708,5.713784722,6.330017488,18.66913194,18.69649411,3.046523789
2013,L,211,NA,204.1497698,NA,2.283354109,7.926006944,7.931493056,91.49819851,91.56448042,5.716076389,6.349548611,19.66215278,19.66475694,4.056458949
2013,L,212,NA,200.7554334,NA,2.276174087,7.996909722,7.980609208,93.28366947,93.11870761,5.741631944,6.407361111,20.29298611,20.30979167,4.185724215
